순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
91,리틀 포레스트: 여름과 가을,2015-02-12,996000 ,0.0000 ,65772700 ,124 ,8586 ,2 ,17 ,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유"
92,피가로의 결혼,2015-02-21,2928000 ,0.0000 ,47087000 ,121 ,2141 ,3 ,10 ,미국,미국,,(주)인스터피씨엠,전체관람가,공연,,
93,이다,2015-02-18,754000 ,0.0000 ,118007345 ,115 ,15406 ,4 ,23 ,폴란드,"폴란드,덴마크",,시네마 뉴원,15세이상관람가,드라마,파웰 파울리코우스키,조안나 쿠릭
94,후쿠시마의 미래,2015-04-09,660000 ,0.0000 ,1638000 ,110 ,316 ,1 ,1 ,한국,한국,(주)리키필름,(주)인디플러그,전체관람가,다큐멘터리,이홍기,김미화
95,미션,1986-12-24,218000 ,0.0000 ,85297748 ,109 ,24578 ,1 ,3 ,영국,영국,,(주)피터팬픽쳐스,"12세이상관람가,국민학생관람불가,15세이상관람가",드라마,롤랑 조페,"로버트 드니로,제레미 아이언스,에이단 퀸"
95,시티 라이트,1989-02-04,969500 ,0.0000 ,3403500 ,109 ,430 ,2 ,10 ,미국,미국,찰리채플린프로덕션,,연소자관람가,"코미디,드라마,멜로/로맨스",찰리 채플린,"버지니아 셰릴,플로렌스 리,해리 마이어스"
97,빅 히어로,2015-01-21,779400 ,0.0000 ,21992674265 ,95 ,2801874 ,1 ,2 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕"
98,그레이의 50가지 그림자,2015-02-26,734000 ,0.0000 ,2918470796 ,94 ,364399 ,2 ,13 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",샘 테일러-존슨,"제이미 도넌,다코타 존슨,제니퍼 엘,루크 그림즈"
99,엘머 갠트리,,178000 ,0.0000 ,5644000 ,89 ,2817 ,1 ,3 ,미국,미국,,,,"드라마,멜로/로맨스",리차드 브룩스,"버트 랭커스터,장 시몬즈"
100,몽골리안 프린세스,2015-03-19,606000 ,0.0000 ,3141000 ,81 ,409 ,2 ,20 ,한국,한국,키호테,(주)영화사 조제,청소년관람불가,"멜로/로맨스,드라마",정단우,"정단우,엘리자베스 가르시아,박하나,박혜진,김종수"
101,그랜드 부다페스트 호텔,2014-03-20,443000 ,0.0000 ,6046150782 ,75 ,778118 ,1 ,2 ,미국,"미국,독일",,이십세기폭스코리아(주),청소년관람불가,"미스터리,어드벤처",웨스 앤더슨,"랄프 파인즈,틸다 스윈튼,주드 로,애드리언 브로디,윌렘 데포,에드워드 노튼,시얼샤 로넌,레아 세이두"
102,비긴 어게인,2014-08-13,420600 ,0.0000 ,27102109561 ,73 ,3428010 ,1 ,3 ,미국,미국,,판씨네마(주),15세이상관람가,멜로/로맨스,존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너"
103,물랑루즈,2001-10-26,271600 ,0.0000 ,113915255 ,58 ,15750 ,1 ,4 ,미국,미국,,"(주)프레인글로벌,이십세기폭스필름코퍼레이션",15세관람가,"멜로/로맨스,뮤지컬",바즈 루어만,"이완 맥그리거,니콜 키드먼,존 레귀자모"
104,어바웃 타임,2013-12-05,449000 ,0.0000 ,24987617200 ,56 ,3392949 ,1 ,2 ,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"멜로/로맨스,코미디",리차드 커티스,"레이첼 맥아담스,돔놀 글리슨,빌 나이"
105,써커스,1990-05-05,481500 ,0.0000 ,669500 ,55 ,79 ,1 ,4 ,미국,미국,유나이티드 아티스트,,연소자관람가,드라마,찰리 채플린,"찰리 채플린,알란 가르시아,메르나 케네디"
106,너에게 가르치는 사랑-욕정,2015-04-08,270000 ,0.0000 ,270000 ,54 ,54 ,1 ,1 ,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),칸바라 이쿠토,"야나기다 야요이,아이자와 에미리"
106,변태인간-시간여행,2015-04-08,270000 ,0.0000 ,270000 ,54 ,54 ,1 ,1 ,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),오쿠 와타루,"호시미 리카,카와사키 코타로"
106,사랑밖엔 난몰라,2015-04-08,270000 ,0.0000 ,270000 ,54 ,54 ,1 ,1 ,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),고토 토시히로,"쿠라하치 케이,후지타 아야코"
106,색정여왕게임-너는 견딜수 있을까?,2015-04-08,270000 ,0.0000 ,270000 ,54 ,54 ,1 ,1 ,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),야마우치 다이스케,"코가와 이오리,메구리"
106,스폰지밥 3D,2015-02-18,414500 ,0.0000 ,2456903200 ,54 ,324789 ,1 ,2 ,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디",폴 티비트,"안토니오 반데라스,클랜시 브라운,톰 케니,전태열,이인성,최한"
111,나의 작은 연인들,,252000 ,0.0000 ,1728000 ,53 ,318 ,1 ,1 ,,,,,,,,
112,시네마 천국,1990-07-07,435000 ,0.0000 ,221063000 ,51 ,34291 ,1 ,1 ,프랑스,"프랑스,이탈리아",,(주)팝엔터테인먼트,전체관람가,"드라마,멜로/로맨스",쥬세페 토르나토레,"브리지트 포세이,자끄 페렝,필립 느와레,살바토레 카시오,마르코 레오나르디"
113,티파니에서 아침을,2011-08-26,283900 ,0.0000 ,58016000 ,47 ,15065 ,1 ,2 ,미국,미국,,(주)씨타마운틴픽쳐스,12세이상관람가,"드라마,멜로/로맨스",블레이크 에드워즈,"조지 페파드,오드리 헵번"
114,레옹,1995-02-18,302500 ,0.0000 ,328741500 ,46 ,43347 ,1 ,1 ,프랑스,프랑스,고몽,(주)팝파트너스,"연소자관람불가,청소년관람불가","액션,범죄",뤽 베송,"장 르노,게리 올드만,나탈리 포트만"
114,상하이에서 온 여인,,212000 ,0.0000 ,244000 ,46 ,53 ,1 ,2 ,미국,미국,,,18세관람가,"범죄,드라마",오손 웰즈,"오손 웰즈,리타 헤이워드"
114,키드,1989-12-15,435000 ,0.0000 ,730000 ,46 ,83 ,1 ,6 ,미국,미국,,,연소자관람가,"코미디,드라마,가족",찰리 채플린,"찰리 채플린,재키 쿠간,에드나 퍼비안스"
117,벤베누토 첼리니,2015-03-04,535000 ,0.0000 ,15466500 ,43 ,917 ,1 ,5 ,영국,영국,,에스디시코리아 주식회사,전체관람가,공연,테리 길리엄,
118,리스본행 야간열차,2014-06-05,231200 ,0.0000 ,589482336 ,41 ,76349 ,1 ,1 ,독일,"독일,스위스,포르투갈",,(주)나이너스엔터테인먼트,15세이상관람가,"미스터리,멜로/로맨스,스릴러",빌 어거스트,"제레미 아이언스,멜라니 로랑,잭 휴스턴,마르티나 게덱"
119,원스,2007-09-20,219500 ,0.0000 ,1560011500 ,39 ,229542 ,1 ,2 ,아일랜드,아일랜드,,(주)영화사 진진,전체관람가,드라마,존 카니,"글렌 하사드,마르케타 이글로바"
119,파리의 여인,1990-04-21,344500 ,0.0000 ,495500 ,39 ,57 ,1 ,4 ,미국,미국,"찰리채플린프로덕션,유나이티드 아티스트",,연소자관람가,드라마,찰리 채플린,"칼 밀러,아돌프 멘주"
121,코지 판 투테,2014-09-20,490000 ,0.0000 ,13329000 ,36 ,904 ,1 ,4 ,미국,미국,,(주)인스터피씨엠,전체관람가,공연,제임스 레바인,
122,목숨,2014-12-04,198000 ,0.0000 ,292952600 ,32 ,38271 ,1 ,3 ,한국,한국,(주)비트윈픽처스,필라멘트픽쳐스,12세이상관람가,다큐멘터리,이창재,"박진우,신창열,김호경,유진희"
122,부드러운 여인,,161000 ,0.0000 ,161000 ,32 ,32 ,1 ,1 ,프랑스,프랑스,,,,드라마,로베르 브레송,
124,노킹 온 헤븐스 도어,1998-02-28,176000 ,0.0000 ,66406000 ,31 ,8831 ,1 ,1 ,독일,"독일,네덜란드",,"(주)엣나인필름,(주)박수엔터테인먼트","15세이상관람가,18세 미만인 자는 관람할 수 없는 등급","드라마,범죄,액션,코미디",토마스 얀,"틸 슈바이거,얀 요셉 리퍼스"
124,"힘내세요, 병헌씨",2013-06-27,221000 ,0.0000 ,26802600 ,31 ,3699 ,3 ,12 ,한국,한국,,㈜인디스토리,15세이상관람가,"코미디,드라마",이병헌,"홍완표,양현민,김영현,허준석,이재광,이창한,정현정,조휘상,강호규,강호규,김경진,김수완,황인국,김영천,노승보,박성민,박영석,심상혁,양동엽,이병헌"
126,잉여들의 히치하이킹,2013-11-28,150000 ,0.0000 ,203011800 ,30 ,29355 ,1 ,2 ,한국,한국,Surplus,CGV아트하우스,12세이상관람가,다큐멘터리,이호재,"이호재,이현학,하승엽,김휘"
127,기인들,,143000 ,0.0000 ,957000 ,29 ,190 ,1 ,1 ,미국,미국,,,,"서부극(웨스턴),드라마",존 휴스턴,"클라크 게이블,마릴린 몬로,몽고메리 클리프트"
128,보이후드,2014-10-23,230000 ,0.0000 ,1467375718 ,27 ,190781 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,리차드 링클레이터,"엘라 콜트레인,에단 호크,패트리시아 아퀘트,로렐라이 링클레이터"
129,뽀로로 극장판 눈요정 마을 대모험,,129000 ,0.0000 ,1286854200 ,26 ,258338 ,1 ,11 ,한국,한국,(주)오콘,,전체관람가,애니메이션,김현호,"이선,함수정,홍소영,이미자,정미숙,김환진"
129,센과 치히로의 행방불명,2002-06-27,220000 ,0.0000 ,1255892529 ,26 ,159460 ,1 ,1 ,일본,일본,,씨네그루(주)다우기술,전체관람가,"애니메이션,어드벤처,가족,판타지",미야자키 하야오,이리노 미유
131,스윙 타임,,124000 ,0.0000 ,802000 ,25 ,150 ,1 ,1 ,미국,미국,,,12세이상관람가,,조지 스티븐스,"프레드 아스테어,진저 로저스"
132,"조제, 호랑이 그리고 물고기들",2004-10-29,122000 ,0.0000 ,354062000 ,21 ,55169 ,1 ,1 ,일본,일본,아스믹에이스엔터테인먼트,"(주)프레인글로벌,(주)스폰지이엔티","15세관람가,15세이상관람가",드라마,이누도 잇신,"츠마부키 사토시,이케와키 치즈루"
133,그녀,2014-05-22,118000 ,0.0000 ,2861750000 ,20 ,351167 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",스파이크 존즈,"호아킨 피닉스,스칼렛 요한슨,에이미 아담스,루니 마라"
133,레미제라블,2012-12-19,165000 ,0.0000 ,43074860800 ,20 ,5919225 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터"
133,오페라의 유령 : 25주년 특별 공연,,381000 ,0.0000 ,1809282000 ,20 ,101526 ,1 ,3 ,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,뮤지컬,"카메론 맥킨토시,로렌스 코너","라민 카림루,시에라 보게스"
136,자유의 언덕,2014-09-04,95000 ,0.0000 ,315931827 ,19 ,38936 ,1 ,1 ,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)영화사 조제",청소년관람불가,드라마,홍상수,"카세 료,문소리,서영화,윤여정,정용진,이민우,기주봉,김의성"
137,러브 미 투나잇,,89000 ,0.0000 ,153000 ,18 ,30 ,1 ,1 ,미국,미국,,,,"뮤지컬,코미디",루벤 마물리안,
137,족구왕,2014-08-21,94000 ,0.0000 ,359915000 ,18 ,45743 ,1 ,2 ,한국,한국,광화문시네마,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,"코미디,멜로/로맨스,드라마",우문기,"안재홍,강봉성,황승언,강봉성,박준식,배성윤,이환희,장민상,진태철,고봉곤,한지혜,권오광,김선간,김승필,김영강,김주호,배유람,황미영"
139,마이 플레이스,2014-01-30,75000 ,0.0000 ,18583800 ,15 ,2685 ,1 ,1 ,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,박문칠,
139,제너럴,,72000 ,0.0000 ,225000 ,15 ,66 ,1 ,1 ,미국,미국,,,,"코미디,멜로/로맨스,전쟁","버스터 키튼,클라이드 브루크맨","버스터 키튼,마리온 맥"
141,동사서독 리덕스,2013-12-05,42000 ,0.0000 ,35892500 ,14 ,4961 ,1 ,2 ,홍콩,"홍콩,대만",,(주)앤드플러스미디어웍스,15세이상관람가,"액션,드라마",왕가위,"장국영,양조위,장학우,장만옥,임청하"
141,들개,2014-04-03,90000 ,0.0000 ,22915700 ,14 ,2952 ,1 ,6 ,한국,한국,한국영화아카데미,CGV아트하우스,청소년관람불가,"범죄,드라마",김정훈,"변요한,박정민,박주애,박준영,서준하,서희영,송민승,임지수,장지희,양수인,양수인,엄태화,정대건,조슬예,채정석,이동화,하수민,김기현,김문준,김민지,김윤주,김윤주,김창훈,남아랑,박성일"
141,아메리칸 셰프,2015-01-07,84000 ,0.0000 ,1255831929 ,14 ,153794 ,1 ,1 ,미국,미국,,(주)영화사 진진,15세이상관람가,코미디,존 파브로,"존 파브로,엠제이 안소니,소피아 베르가라,스칼렛 요한슨,더스틴 호프만,로버트 다우니 주니어,존 레귀자모"
141,한공주,2014-04-17,70000 ,0.0000 ,1788735300 ,14 ,225581 ,1 ,1 ,한국,한국,리 공동체 영화사,CGV아트하우스,청소년관람불가,드라마,이수진,"천우희,우혜진,정인선,김소영,강대현,백지원,임동석,장순호,전준영,정한빈,이상헌,이슬,이연주,이은주,이재민,김다현,김용국,지수,김태윤,김현준,민경진,동현배,이영란,유승목"
145,The Dam Keeper,,64000 ,0.0000 ,1845000 ,13 ,371 ,1 ,6 ,미국,미국,,,,애니메이션,"다이스 쯔쯔미,오수형",
145,도희야,2014-05-22,65000 ,0.0000 ,831451100 ,13 ,106592 ,1 ,1 ,한국,한국,"파인하우스필름(주),나우필름(주)",CGV아트하우스,청소년관람불가,드라마,정주리,"배두나,김새론,송새벽,박진우,이호현,서영제,조유진,윤은지,최효선,김경재,이승원,이정은,김민선,나채형,손종학,공명,남문철"
145,벨벳 골드마인,1999-08-28,74000 ,0.0000 ,40455908 ,13 ,5089 ,1 ,1 ,영국,"영국,미국","채널4필름,골드윈필름,킬러 필름즈,미라맥스 필름즈,뉴마켓 캐피탈 그룹",(주)엔케이컨텐츠,"18세관람가,청소년관람불가","드라마,뮤지컬",토드 헤인즈,"이완 맥그리거,조나단 리스 메이어스,크리스찬 베일,토니 콜레뜨"
145,신촌좀비만화,2014-05-15,88000 ,0.0000 ,51786700 ,13 ,5225 ,1 ,2 ,한국,한국,한국영화아카데미,씨제이이앤엠(주),청소년관람불가,드라마,"류승완,한지승,김태용","이다윗,박정민,박기웅,남규리,김수안,배제기,안길강,박미현"
145,폭스캐처,2015-02-05,98000 ,0.0000 ,203117521 ,13 ,25599 ,1 ,1 ,미국,미국,,그린나래미디어(주),청소년관람불가,"드라마,스릴러",베넷 밀러,"채닝 테이텀,스티브 카렐,마크 러팔로"
150,가위손,1991-06-29,36000 ,0.0000 ,40324000 ,12 ,5692 ,1 ,2 ,미국,미국,,(주)프레인글로벌,중학생이상관람가,드라마,팀 버튼,"조니 뎁,위노나 라이더,빈센트 프라이스"
150,나쁜 친구들 & 산타클로스는 파란 눈을 지녔다,,66000 ,0.0000 ,116000 ,12 ,23 ,1 ,1 ,기타,기타,,,,기타,,
150,불쾌한 이야기&알릭스의 사진&히에로니무스 보슈의 쾌락정원,,54000 ,0.0000 ,120000 ,12 ,28 ,1 ,1 ,기타,기타,,,,기타,,
150,비포 미드나잇,2013-05-22,84000 ,0.0000 ,1493174000 ,12 ,204592 ,1 ,1 ,미국,미국,,(주)팝엔터테인먼트,청소년관람불가,드라마,리차드 링클레이터,"에단 호크,줄리 델피,샤무스 데이비 피츠패트릭"
150,신과 인간,2012-01-19,65000 ,0.0000 ,127278500 ,12 ,17611 ,1 ,5 ,프랑스,프랑스,,㈜영화사 백두대간,15세이상관람가,드라마,자비에 보브와,"램버트 윌슨,미쉘 롱스달"
155,미스터 터너,2015-01-22,71500 ,0.0000 ,106149883 ,11 ,13816 ,1 ,1 ,영국,"영국,프랑스,독일",,(주)영화사 진진,청소년관람불가,드라마,마이크 리,"티모시 스폴,폴 제슨,도로시 앳킨슨,마리온 베일리"
156,미스 진 브로디의 전성기,,50000 ,0.0000 ,76000 ,10 ,15 ,1 ,1 ,영국,"영국,미국",,,,"코미디,드라마,멜로/로맨스",로날드 님,
157,아이들의 시간,,42000 ,0.0000 ,544000 ,9 ,234 ,1 ,1 ,미국,미국,,,,드라마,윌리엄 와일러,"오드리 헵번,셜리 맥클레인"
157,쥬로링 동물탐정 극장판,2014-12-18,66000 ,0.0000 ,175581100 ,9 ,24994 ,1 ,4 ,한국,"한국,일본",(주)제이엠애니메이션,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처","이종현,박시후","김서영,양정화,문남숙"
157,하비,,43000 ,0.0000 ,43000 ,9 ,9 ,1 ,2 ,,,,,,,,
160,라 붐,2013-10-24,24000 ,0.0000 ,66307000 ,8 ,8914 ,1 ,2 ,프랑스,프랑스,,(주)앤드플러스미디어웍스,15세이상관람가,"드라마,멜로/로맨스,코미디",클로드 피노토,"소피 마르소,클로드 브라세,브리지트 포세이"
160,마담 프루스트의 비밀정원,2014-07-24,50000 ,0.0000 ,1110667942 ,8 ,141818 ,1 ,1 ,프랑스,프랑스,,찬란,전체관람가,드라마,실뱅 쇼메,"귀욤 고익스,앤 르니"
160,사랑에 대한 모든 것,2014-12-10,51000 ,0.0000 ,2162101589 ,8 ,277946 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,멜로/로맨스,제임스 마쉬,"에디 레드메인,펠리시티 존스"
160,판도라의 상자,,36000 ,0.0000 ,36000 ,8 ,8 ,1 ,1 ,독일,독일,,,,"범죄,드라마",게오르크 빌헬름 파브스트,"루이스 브룩스,프리츠 코트너"
164,로미오와 줄리엣,1996-12-28,21000 ,0.0000 ,84885500 ,7 ,12697 ,1 ,2 ,미국,미국,,"이십세기폭스코리아(주),(주)프레인글로벌",고등학생이상관람가,"멜로/로맨스,액션,드라마",바즈 루어만,"레오나르도 디카프리오,클레어 데인즈"
164,와일드 카드,2015-03-19,55000 ,0.0000 ,23712000 ,7 ,3109 ,3 ,4 ,미국,미국,,(주)영화사 빅,청소년관람불가,"범죄,액션",사이먼 웨스트,"제이슨 스타뎀,스탠리 투치,마이클 안가라노"
164,조류인간,2015-02-26,44000 ,0.0000 ,20586500 ,7 ,2724 ,1 ,3 ,한국,한국,(주) 루스이소니도스,(주) 루스이소니도스,15세이상관람가,드라마,신연식,"김정석,소이,정한비,강신효,임동훈,배영민,신연식,신연식,이새별,김장호,이연진,최종률"
164,카토 프로젝트,2014-04-17,14000 ,0.0000 ,2076000 ,7 ,714 ,1 ,7 ,한국,한국,(주)씨타마운틴픽쳐스,(주)씨타마운틴픽쳐스,전체관람가,다큐멘터리,김정욱,"강민지,박정원,이승희,이윤희,이은지,이준영,김효정,박수정"
168,다정하게 바삭바삭+나방스파크+내가같이있어줄게,,42000 ,0.0000 ,49000 ,6 ,7 ,2 ,3 ,한국,한국,,,,기타,장영선,
168,미라클 여행기,2015-01-15,41000 ,0.0000 ,20262500 ,6 ,3182 ,2 ,4 ,한국,한국,"미라클필름,(주)꿈길제작소,허철필름",미라클필름,전체관람가,다큐멘터리,허철,"최미라,김영민,김정민"
168,페삭의 처녀 1968 & 페삭의 처녀 1979,,28000 ,0.0000 ,64000 ,6 ,15 ,1 ,1 ,기타,기타,,,,기타,,
171,라붐 2,1986-07-26,15000 ,0.0000 ,69000 ,5 ,13 ,1 ,1 ,프랑스,프랑스,고몽인터내셔날,,국민학생관람불가,드라마,클로드 피노토,"데니스 그레이,피에르 코소,소피 마르소"
171,빌리 엘리어트 뮤지컬 라이브,2014-11-27,82500 ,0.0000 ,387033500 ,5 ,21034 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"뮤지컬,공연",스티븐 달드리,"엘리엇 한나,루시에 헨쉘,데카 웜슬리"
173,"메밀꽃, 운수 좋은 날, 그리고 봄봄",2014-08-21,28000 ,0.0000 ,221874200 ,4 ,34044 ,1 ,2 ,한국,한국,"(주)연필로명상하기,한국교육방송공사 EBS",이달투,전체관람가,애니메이션,"안재훈,한혜진","장광,엄상현,류현경,강은탁"
173,소중한 날의 꿈,2011-06-23,20000 ,0.0000 ,365251100 ,4 ,52765 ,1 ,2 ,한국,한국,(주)연필로명상하기,에이원엔터테인먼트,전체관람가,"애니메이션,드라마","안재훈,한혜진","박신혜,오연서,송창의,신정희,박진희,조효민,이태연"
175,감각의 제국,2000-04-01,27000 ,0.0000 ,683000 ,3 ,125 ,1 ,2 ,일본,일본,"오시마 프로덕션즈,아르고스필름즈",패스21엔터테인먼트,18세관람가,"드라마,성인물(에로)",오시마 나기사,"나카지마 아오이,후지 타츠야,마츠다 에이코"
175,다이빙벨,2014-10-23,21000 ,0.0000 ,347851500 ,3 ,50167 ,2 ,3 ,한국,한국,"아시아프레스,(주)씨네포트",(주)시네마달,15세이상관람가,다큐멘터리,"이상호,안해룡","이상호,이종인"
175,아이들의 얼굴,,14000 ,0.0000 ,34000 ,3 ,7 ,1 ,1 ,독일,독일,,,,"드라마,미스터리,멜로/로맨스",자크 페이더,
175,악사들,2014-12-04,21000 ,0.0000 ,7878700 ,3 ,1402 ,1 ,1 ,한국,한국,"반달,'탁주'조합",㈜인디스토리,15세이상관람가,다큐멘터리,김지곤,"박기태,이승호"
175,어떤 시선,2013-10-24,21000 ,0.0000 ,207457800 ,3 ,31481 ,1 ,1 ,한국,한국,국가인권위원회,(주)영화사 진진,12세이상관람가,드라마,"박정범,신아가,이상철,민용근","임성철,길해연,박주희,김한주,이영석,황재원,김동현,공명,황정민"
175,이것이 우리의 끝이다,2014-06-26,15000 ,0.0000 ,21389800 ,3 ,2916 ,1 ,2 ,한국,한국,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),청소년관람불가,드라마,김경묵,"유영,공명,정혜인,신재하,변준석,우승인,윤영미,이재인,최성희,김영미,김새벽,강봉성,김수현"
175,치명적 폭풍우,,14000 ,0.0000 ,36000 ,3 ,7 ,1 ,1 ,미국,미국,,,,드라마,프랭크 보제즈,
175,트라이브,2015-01-29,18000 ,0.0000 ,80315400 ,3 ,10367 ,1 ,3 ,우크라이나,"우크라이나,네덜란드",,오드,청소년관람불가,드라마,미로슬라브 슬라보슈비츠키,"그레고리브 페센코,야나 노비코바"
175,폴리스 스토리 2 - 구룡의 눈,1988-12-31,27000 ,0.0000 ,104000 ,3 ,12 ,1 ,3 ,홍콩,홍콩,골든웨이필름,,중학생이상관람가,"범죄,액션",성룡,성룡
184,개: dog eat dog,2015-03-05,14000 ,0.0000 ,11970000 ,2 ,1505 ,1 ,1 ,한국,한국,"어썸피플,어썸픽쳐스","어썸피플,어뮤즈",청소년관람불가,"범죄,드라마","황욱,박민우","김선빈,곽민호,정준교,이하민,박형준,정완희"
184,네이키드 피어,2015-04-02,14000 ,0.0000 ,14000 ,2 ,2 ,1 ,1 ,미국,미국,,스크린조이,청소년관람불가,"공포(호러),스릴러",돔 에버하트,다니엘 드 루카
184,코모도 대 코브라,2015-04-02,14000 ,0.0000 ,14000 ,2 ,2 ,1 ,1 ,미국,미국,,스크린조이,15세이상관람가,"공포(호러),SF",짐 위노스키,"마이클 파레,미첼 보스"
187,공사중,2015-04-08,9000 ,0.0000 ,9000 ,1 ,1 ,1 ,1 ,한국,한국,(주)마부엔터테인먼트,고구마콘텐츠허브(주),청소년관람불가,"멜로/로맨스,코미디",강명진,"성은,김호창,라리사,최한빛,문예신,이장섭,서창환"
187,망원동 인공위성,2015-02-05,7000 ,0.0000 ,20876700 ,1 ,2972 ,1 ,1 ,한국,한국,플레인 픽처스,(주)시네마달,12세이상관람가,다큐멘터리,김형주,"송호준,조성윤,송호준,유지선,홍성훈"
189,"1999, 면회",2013-02-21,0 ,0.0000 ,23789300 ,0 ,3384 ,1 ,2 ,한국,한국,광화문시네마,㈜인디스토리,15세이상관람가,드라마,김태곤,"심희섭,김창환,안재홍,김꽃비,전고운,진태철,고봉곤,김범철,최형선,김태곤,황미영"
189,로망은 없다,2009-12-10,0 ,0.0000 ,994000 ,0 ,170 ,1 ,1 ,한국,한국,한국영화아카데미,씨제이 씨지브이(CJ CGV)(주),12세이상관람가,"애니메이션,드라마,가족","박재옥,수경,홍은지","임옥균,정형준,전진아,수경,박지윤,차연경,곽지훈,김성철,박민우,박민우,박민우,박민우"
합계,,,23027118484 ,,534569001247 ,2887087 ,69432002 ,5416 ,98710 ,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
